Player,Romanized Name,Nationality,Born,Status,Role,Team,Signature Heroes,Game Appearances,Approx. Total Winnings
Lep,,United States Argentina,"July 30, 2002 (age 23)",Active,Support Coach,Sign Esports NTMR Northwood University Blue,"Lúcio, Brigitte, Mercy",Overwatch Overwatch 2,"$30,546"
Abbs,,United Kingdom India,"February  6, 1999 (age 26)",Active,Support,ZoKorp Esports,"Ana, Zenyatta, Lúcio",Overwatch Overwatch 2,"$13,816"
elia,,South Korea,"December 18, 2007 (age 17)",Active,Tank,,"Winston, Ramattra, Sigma",Overwatch 2,$497
Jeremy,,,,,,,,,
icesoul,,,,,,,,,
Qiezi,,,,,,,,,
Meruna,,Japan,,Active,DPS,Nyam Gaming,"Sojourn, Tracer, Widowmaker",Overwatch 2,$376
Secret,Zhao Xu,China,"June 29, 1998 (age 27)",Retired,Support,,,,"$17,316"
Kronik,,United States,"April  6, 2004 (age 21)",Active,DPS,Sign Esports NTMR Northwood University Blue,"Widowmaker, Sombra, Sojourn",Overwatch Overwatch 2,"$8,006"
ky0n,,,,,,,,,
Lightt,,Taiwan United States,"December 19, 2002 (age 22)",Active,Flex,The Gatos Guapos,"Doomfist, Widowmaker, Kiriko",Overwatch Overwatch 2,"$9,576"
ZeSin,Song Yun-jin,South Korea,"March 24, 2005 (age 20)",Active,DPS,VEC,"Widowmaker, Sojourn, Cassidy",Overwatch Overwatch 2,"$2,106"
k1ng,,United States,"July 13, 2004 (age 21)",Active,DPS,Anomaly,"Genji, Tracer, Echo",Overwatch Overwatch 2,"$32,679"
LIP,Lee Jae-won,South Korea,"November  5, 2001 (age 23)",Active,DPS,Crazy Raccoon,"Sombra, Sojourn, Widowmaker",Overwatch Overwatch 2,"$601,045"
False,,Canada,"February 16, 2002 (age 23)",Active,Tank,Supernova,"D.Va, Sigma, Zarya",Overwatch Overwatch 2,"$32,249"
Hyeonjun,Hong Hyeon-jun,South Korea,"April 19, 2007 (age 18)",Active,Support,Little Sheep,"Illari, Ana, Kiriko",Overwatch 2,$976
search,Bong Wook,South Korea,"May  4, 2004 (age 21)",Active,Support Coach,VEC,"Lúcio, Brigitte, Mercy",Overwatch Overwatch 2,"$3,110"
Skyshow,Wan Wenjun,China,"November 24, 2001 (age 23)",Active,DPS,Little Sheep,"Hanzo, Widowmaker, Cassidy",,"$7,367"
Kusari,Tang Leyuan,China,"July  2, 2004 (age 21)",Active,Support,Little Sheep,"Kiriko, Juno, Ana",,"$3,033"
Viol2t,Park Min-ki,South Korea,"April 17, 2000 (age 25)",Active,Support,Team Vision,"Zenyatta, Baptiste, Lúcio",Overwatch Overwatch 2,"$644,276"
Regr3T,,Australia,"February 18, 2004 (age 21)",Active,DPS,The Bakery I LOVE YOU,"Widowmaker, Cassidy, Sojourn",Overwatch 2,$916
Fearful,Lee Min-ho,South Korea,"April  5, 2005 (age 20)",Active,Tank,,"Winston, Wrecking Ball, Reinhardt",Overwatch Overwatch 2,"$1,875"
Flicker,Xu Cheng,China,,Active,DPS,Team Equal,,,"$3,354"
TVNT,Abdualziz Altmimi,Saudi Arabia,"October 19, 2005 (age 19)",Active,Tank,Twisted Minds,"Sigma, D.Va, Ramattra",Overwatch Overwatch 2,"$49,889"
Neuu,,Australia,"February 19, 2001 (age 24)",Retired,DPS Tank,,"Ashe, Sojourn, Cassidy",Overwatch Overwatch 2,"$7,184"
LeeSooMin,Lee Soo-Min,South Korea,"July 10, 2005 (age 20)",Active,Support,All Gamers Global,"Ana, Zenyatta, Brigitte",Overwatch Overwatch 2,"$16,482"
Wen,Wen Shihai,China,,Active,Tank,Homie E,,,"$3,136"
Pugz,,Australia,,Active,Support,The Bakery,"Brigitte, Lúcio, Kiriko",Overwatch 2,$846
Erikek,,Spain Denmark,"July 16, 2003 (age 22)",Active,Tank,,"Winston, Ramattra, Sigma",Overwatch Overwatch 2,"$3,753"
FodCarry,So Hyun-seo,South Korea,"July 16, 2007 (age 18)",Active,DPS Coach,,"Tracer, Genji, Sojourn",Overwatch Overwatch 2,"$1,675"
Jimmy,Lei Yujia,China,"July  1, 2001 (age 24)",Active,Streamer DPS,Super Levi,"Hanzo, Widowmaker, Ashe",,"$33,303"
CARU,Kim Beom-jun,South Korea,"September 10, 2004 (age 20)",Active,Support,,"Ana, Moira, Kiriko",Overwatch Overwatch 2,"$4,660"
ShakeIt,Narabodin Nakhonkhwang,Thailand,"February 14, 2001 (age 24)",Active,DPS,,"Sojourn, Widowmaker, Soldier: 76",Overwatch 2,"$1,051"
RULER,Kim Yi-gun,South Korea,"July 10, 2006 (age 19)",Active,Tank,ZONES,"Zarya, D.Va, Sigma",Overwatch Overwatch 2,"$3,413"
Colourhex,,New Zealand,"November 17, 1997 (age 27)",Active,DPS Flex,The Gatos Guapos,"Echo, Hanzo, Kiriko",Overwatch Overwatch 2,"$18,881"
Sonic100,,,,,,,,,
Water,Lee Min-Seong,South Korea,"July  8, 1998 (age 27)",Active,DPS,ZG,"Genji, Pharah, Hanzo",Overwatch Overwatch 2,"$13,185"
GAGA,Qiu Jiaxin,China,"April 12, 2000 (age 25)",Active,Tank,Team CC,"Wrecking Ball, Reinhardt, Winston",,"$77,466"
Keios,,,,,,,,,
Chicken,,,,,,,,,
pythorn,,,,,,,,,
Probe,Jung Jun-young,South Korea,"March  6, 2005 (age 20)",Active,DPS,,"Widowmaker, Cassidy, Freja",Overwatch Overwatch 2,"$34,419"
POSS,,,,,,,,,
Belosrea,Hwang Gyu-tae,South Korea,"January 10, 2004 (age 21)",Active,Tank,ROC Esports,"Winston, Reinhardt, Wrecking Ball",Overwatch Overwatch 2,"$43,153"
Kaneki,Liu Nian,China,"August 16, 2002 (age 22)",Active,DPS Support,Team CC,"Kiriko, Ana, Pharah",,"$37,173"
AOKIGAHARA,Tamotsu Nobuhara,Japan,,Active,DPS Support,VortexWolf,"Sojourn, Widowmaker, Ashe",Overwatch 2,"$1,100"
wya,Qi Haomiao,China,"December 21, 2000 (age 24)",Active,Support,ZONES,"Ana, Zenyatta, D.Va",,"$51,897"
Nyang,Park Su-young,South Korea,"February  1, 2002 (age 23)",Active,DPS,The Gatos Guapos,"Widowmaker, Ashe, Sojourn",Overwatch Overwatch 2,"$19,105"
Ackyyy,,Australia,"November  5, 2001 (age 23)",Active,Support,The Gatos Guapos,"Ana, Kiriko, Baptiste",Overwatch Overwatch 2,"$29,033"
Huntin,,Australia,"February 21, 2005 (age 20)",Active,Support,The Bakery,"Juno, Ana, Kiriko",Overwatch 2,$681
Mikouw,Wan Tsz-kit,Hong Kong,,Active,DPS,MENG GONG 2,"Tracer, Hanzo, Widowmaker",Overwatch Overwatch 2,"$6,672"
Gur3um,Jeon Yong-min,South Korea,"June  1, 2004 (age 21)",Active,Tank,,"Sigma, D.Va, Junker Queen",Overwatch Overwatch 2,"$3,369"
Pobi,Jang Il-ji,South Korea,"November 20, 2004 (age 20)",Active,Tank,I LOVE YOU,"Winston, Wrecking Ball, Orisa",Overwatch Overwatch 2,$237
HyVision,Nathawit Prajong,Thailand,"November 26, 2004 (age 20)",Active,DPS,,"Sojourn, Ashe, Cassidy",Overwatch 2,"$9,487"
Kai,,United Kingdom,"June 17, 2000 (age 25)",Active,DPS,The Ultimates,"Sojourn, Widowmaker, Ashe",Overwatch Overwatch 2,"$203,285"
Lilko,Yi Jinlin,China,"September  2, 2004 (age 20)",Active,DPS,Homie E,"Tracer, Echo, Genji",,"$3,462"
cow,,,,,,,,,
vigilante,Kim Joon,South Korea,"July  1, 2004 (age 21)",Active,Support,T1,"Ana, Zenyatta, Baptiste",Overwatch Overwatch 2,"$101,795"
wub,,United States,"April 12, 2001 (age 24)",Retired,DPS,,"Widowmaker, Hanzo, Echo",Overwatch Overwatch 2,"$31,981"
SoOn,,France,"February  4, 1994 (age 31)",Active,DPS,Team Peps,"Tracer, Widowmaker, Cassidy",Overwatch Overwatch 2,"$115,549"
SirMajed,Majed Alrashied,Saudi Arabia,"January 24, 2004 (age 21)",Active,Support,Team Falcons,"Illari, Baptiste, Zenyatta",Overwatch Overwatch 2,"$110,189"
EmolGa,Ju Gi-woong,South Korea,"January 20, 2003 (age 22)",Active,Support Tank,Amplify,"Sigma, D.Va, Lúcio",Overwatch Overwatch 2,"$3,179"
MSCG,Prabda Watthanaworasakul,Thailand,"February 10, 2004 (age 21)",Active,Support,Cold Metal,"Ana, Zenyatta, Kiriko",Overwatch 2,"$2,587"
Infekted,,United States,"February 13, 2007 (age 18)",Active,Tank Coach,Team Liquid Winthrop University,"Reinhardt, Wrecking Ball, Winston",Overwatch Overwatch 2,"$40,307"
Tropica,,,,,,,,,
