Player,Romanized Name,Nationality,Born,Status,Role,Team,Approx. Total Winnings,Signature Heroes,Game Appearances
yoham,,Denmark,"July 28, 2003 (age 22)",Active,Support,,"$7,580","Baptiste, Kiriko, Ana","Overwatch, Overwatch 2"
Loren,,Spain,"June  4, 2003 (age 22)",Inactive,DPS,,"$3,684","Echo, Mei, Sojourn","Overwatch, Overwatch 2"
gucci,,Finland,"April 14, 2006 (age 19)",Active,DPS,,"$2,797","Echo, Tracer, Ashe","Overwatch, Overwatch 2"
kaiBa,,Netherlands,"January  2, 1999 (age 26)",Inactive,DPS,,"$1,460",,Overwatch 2
Ailiseu,,"Ireland, United Kingdom","August  1, 2004 (age 20)",Inactive,Tank,,"$12,840","Wrecking Ball, Winston, Orisa","Overwatch, Overwatch 2"
eisgnom,,Germany,"February 25, 2006 (age 19)",Active,Tank,Virtus.pro,"$9,640","D.Va, Doomfist, Winston","Overwatch, Overwatch 2"
ANJ,,Netherlands,"July  9, 1997 (age 28)",Active,Support,Wasp X Ohhhh No,"$24,284","Lúcio, Mercy, Brigitte","Overwatch, Overwatch 2"
Xeriongdh,,France,"March 26, 2005 (age 20)",Active,Support,Team Peps,"$12,827","Kiriko, Baptiste, Ana","Overwatch, Overwatch 2"
sHockWave,,Denmark,"July 25, 2000 (age 25)",Active,DPS,Virtus.pro,"$52,965","Widowmaker, Echo, Ashe","Overwatch, Overwatch 2"
Sauna,,Finland,"October  3, 2004 (age 20)",Inactive,DPS,SrPeakCheck,"$46,960","Tracer, Pharah, Genji","Overwatch, Overwatch 2"
Raajaro,,Finland,"September  3, 2005 (age 19)",Active,Tank,,"$14,341","Sigma, Ramattra, Winston",Overwatch 2
Galaa,,Spain,"April  9, 2004 (age 21)",Active,Support,Virtus.pro,"$30,436","Illari, Kiriko, Lúcio","Overwatch, Overwatch 2"
Khenail,,Spain,"August 20, 2005 (age 19)",Active,Support,Gen.G Esports,"$31,068","Baptiste, Zenyatta, Ana","Overwatch, Overwatch 2"
TVNT,Abdualziz Altmimi,Saudi Arabia,"October 19, 2005 (age 19)",Active,Tank,Twisted Minds,"$49,889","Sigma, D.Va, Ramattra","Overwatch, Overwatch 2"
Bliss,Kim So-myung,South Korea,"January  5, 2005 (age 20)",Active,Support,Spacestation Gaming,"$81,000","Lúcio, Brigitte, Mercy","Overwatch, Overwatch 2"
vigilante,Kim Joon,South Korea,"July  1, 2004 (age 21)",Active,Support,T1,"$101,795","Ana, Zenyatta, Baptiste","Overwatch, Overwatch 2"
Qrxu,,Germany,"October  2, 2004 (age 20)",Active,DPS,Wasp X Ohhhh No,"$4,640","Widowmaker, Ashe, Genji","Overwatch, Overwatch 2"
Hêv,,"Switzerland, Turkey","September 23, 2005 (age 19)",Active,DPS,Wasp X Ohhhh No,"$2,386","Tracer, Mei, Echo","Overwatch, Overwatch 2"
WhisPerz,,,,,,,,,
Redmoosegoat,,Canada,"May 24, 2005 (age 20)",Active,DPS,,$161,,Overwatch 2
Ostrix,,France,"August 15, 2006 (age 18)",Active,Tank,Wasp X Ohhhh No,$800,,Overwatch 2
KDM,,"France, Morocco","June 24, 2002 (age 23)",Active,Support,,$514,"Ana, Kiriko, Zenyatta","Overwatch, Overwatch 2"
ilppi13,,Finland,"April 17, 1997 (age 28)",Active,"Support, Coach",SrPeakCheck,"$2,936","Zenyatta, Kiriko, Ana","Overwatch, Overwatch 2"
delusion,,Kazakhstan,"December 16, 2005 (age 19)",Inactive,DPS,,"$1,611","Tracer, Genji, Echo","Overwatch, Overwatch 2"
kio,,France,"March 11, 2006 (age 19)",Active,DPS,,"$5,283","Cassidy, Widowmaker, Sojourn","Overwatch, Overwatch 2"
sxj,,Malta,,Active,DPS,SrPeakCheck,"$3,919","Tracer, Soldier: 76, Echo","Overwatch, Overwatch 2"
Skytorr,,Belgium,"July 28, 2003 (age 22)",Active,Tank,,"$5,844","Winston, Doomfist, Mauga","Overwatch, Overwatch 2"
CaptainPrash,,"United Kingdom, India","February 28, 2002 (age 23)",Active,Support,,"$5,235","Lúcio, Brigitte, Baptiste","Overwatch, Overwatch 2"
MCD,Lee Jeong-ho,South Korea,"December 25, 1998 (age 26)",Active,Support,,"$58,780","Zenyatta, Ana, Moira","Overwatch, Overwatch 2"
china,,,,,,,,,
cookie084,,Germany,,Active,"DPS, Coach",Team Peps,"$11,998","Sojourn, Widowmaker","Overwatch, Overwatch 2"
Hybrid,,,,,,,,,
crispy,,United Kingdom,"April 25, 2005 (age 20)",Active,Support,,"$14,281","Lúcio, Mercy, Brigitte","Overwatch, Overwatch 2"
Lv1Crook,,"Hungary, Austria","July  9, 2005 (age 20)",Active,Support,,"$14,893","Brigitte, Baptiste, Zenyatta","Overwatch, Overwatch 2"
Gurkmeister,,Sweden,,Active,DPS,,"$1,353",,Overwatch 2
coolboy163,,Sweden,"February 14, 1994 (age 31)",Active,"Support, Coach",AWW YEAH,"$8,884","Ana, Lifeweaver, Baptiste","Overwatch, Overwatch 2"
TOPDRAGON,Jeong Seung-yong,South Korea,"January  3, 2005 (age 20)",Active,DPS,VARREL,"$32,396","Echo, Pharah, Genji","Overwatch, Overwatch 2"
Alpha,Sin Jae-hyeon,South Korea,"September  6, 1999 (age 25)",Retired,Tank,,"$44,391","Winston, Reinhardt",Overwatch
Bonkey,,Netherlands,"October 13, 2005 (age 19)",Active,Support,,$909,"Lúcio, Brigitte, Kiriko",Overwatch 2
D0nghun,Park Dong-hun,South Korea,"February  1, 2006 (age 19)",Active,Support,Team Vision,"$10,246","Lúcio, Brigitte, Baptiste","Overwatch, Overwatch 2"
Stellios,,France,"March 14, 2004 (age 21)",Active,DPS,Team Peps,"$4,432","Tracer, Echo, Hanzo","Overwatch, Overwatch 2"
Podonova,,Belgium,,Retired,Support,,"$2,465","Kiriko, Baptiste, Ana","Overwatch, Overwatch 2"
Dannedd,,Sweden,"December  3, 1997 (age 27)",Active,DPS,SrPeakCheck,"$55,278","Doomfist, Genji, Hanzo","Overwatch, Overwatch 2"
Dip,,France,"August 28, 2006 (age 18)",Active,DPS,Frost Tails eSport,"$5,029","Tracer, Genji, Echo",Overwatch 2
phi,,Germany,"August 16, 2001 (age 23)",Active,"Coach, DPS",,"$17,168","Tracer, Cassidy, Mei","Overwatch, Overwatch 2"
LhCloudy,,Finland,"May 21, 1999 (age 26)",Active,"Tank, Streamer",SrPeakCheck,"$28,998","Reinhardt, Winston, Wrecking Ball","Overwatch, Overwatch 2"
Kronus,,"Scotland, United Kingdom","March 27, 1999 (age 26)",Active,Support,,"$13,957","Lúcio, Baptiste, Mercy","Overwatch, Overwatch 2"
ghost91,,Finland,"September 11, 2006 (age 18)",Retired,Support,,"$13,931","Baptiste, Zenyatta, Ana","Overwatch, Overwatch 2"
Olli,,Finland,"August 27, 2002 (age 22)",Active,"Coach, Support",,"$8,334","Baptiste, Kiriko, Ana","Overwatch, Overwatch 2"
Psych0,,Norway,,Active,DPS,,"$10,761","Genji, Tracer, Echo","Overwatch, Overwatch 2"
Scyle,,Sweden,"October 27, 1999 (age 25)",Active,"Support, DPS",,"$16,051","Kiriko, Tracer, Zenyatta","Overwatch, Overwatch 2"
Kayeose,Abdullah,Saudi Arabia,"August 17, 2002 (age 22)",Active,Tank,,"$15,516","Junker Queen, Ramattra, D.Va",Overwatch 2
Haku,,"Japan, United States",,Inactive,Support,,"$13,017","Zenyatta, Ana, Moira",Overwatch
Facator,Khaled Alotaibi,Saudi Arabia,"April 17, 2003 (age 22)",Active,Support,,"$9,167","Kiriko, Zenyatta, Ana","Overwatch, Overwatch 2"
PoroPlays,,"Saudi Arabia, United States","November 30, 2006 (age 18)",Active,Tank,,"$2,715","Winston, Ramattra, Orisa",Overwatch 2
flipper,,Poland,"April 12, 2003 (age 22)",Active,Support,,"$1,303","Lúcio, Brigitte, Mercy",Overwatch 2
Katekomi,,"Italy, Brazil","August  9, 2002 (age 22)",Active,"Support, DPS",Savannah College of Art and Design,"$1,836","Lúcio, Mercy, Brigitte","Overwatch, Overwatch 2"
Dawson,,,,,,,,,
Escanor,Yasser Alotaibi,Saudi Arabia,"September 27, 2006 (age 18)",Active,DPS,Dragons Esports,"$4,050","Tracer, Mei, Pharah","Overwatch, Overwatch 2"
roho,,Saudi Arabia,"January 23, 2005 (age 20)",Active,DPS,,"$8,028","Sojourn, Ashe, Widowmaker",Overwatch 2
Majin,,France,"January  2, 2006 (age 19)",Active,Tank,,"$1,763","D.Va, Sigma, Ramattra",Overwatch 2
Deme,,,,,,,,,
Chaba,,Belgium,"May  7, 2003 (age 22)",Active,Support,,"$2,882","Baptiste, Kiriko, Ana","Overwatch, Overwatch 2"
alba,,"Scotland, United Kingdom","May 27, 2005 (age 20)",Active,Support,,"$3,428","Brigitte, Lúcio, Mercy",Overwatch 2
Schef,,Netherlands,"August 15, 2002 (age 22)",Active,"Analyst, Support",,"$1,712","Brigitte, Lúcio",Overwatch 2
Clowd,,Finland,"August 13, 2003 (age 21)",Active,DPS,SrPeakCheck,"$26,785","Hanzo, Doomfist, Pharah","Overwatch, Overwatch 2"
KSAA,Alhumaidi Alruwaili,"Saudi Arabia, United States","March 28, 2001 (age 24)",Active,Tank,Twisted Minds,"$100,664","D.Va, Sigma, Ramattra","Overwatch, Overwatch 2"
MCD,Lee Jeong-ho,South Korea,"December 25, 1998 (age 26)",Active,Support,,"$58,780","Zenyatta, Ana, Moira","Overwatch, Overwatch 2"
Naga,,Denmark,"January 28, 2001 (age 24)",Inactive,DPS,,"$40,789","Genji, Pharah, Echo","Overwatch, Overwatch 2"
xzodyal,,Spain,"December 29, 2006 (age 18)",Active,"DPS, Coach",Gen.G Esports,"$10,747","Sojourn, Cassidy, Widowmaker",Overwatch 2
Tred,,United Kingdom,"June 10, 2005 (age 20)",Active,Tank,"Team Peps, St. Clair College","$16,149","D.Va, Doomfist, Winston","Overwatch, Overwatch 2"
Scyle,,Sweden,"October 27, 1999 (age 25)",Active,"Support, DPS",,"$16,051","Kiriko, Tracer, Zenyatta","Overwatch, Overwatch 2"
crispy,,United Kingdom,"April 25, 2005 (age 20)",Active,Support,,"$14,281","Lúcio, Mercy, Brigitte","Overwatch, Overwatch 2"
Phi,,Germany,"August 16, 2001 (age 23)",Active,"Coach, DPS",,"$17,168","Tracer, Cassidy, Mei","Overwatch, Overwatch 2"
ilppi13,,Finland,"April 17, 1997 (age 28)",Active,"Support, Coach",SrPeakCheck,"$2,936","Zenyatta, Kiriko, Ana","Overwatch, Overwatch 2"
Pak,,France,,Active,DPS,Frost Tails eSport,"$7,041","Genji, Mei, Symmetra","Overwatch, Overwatch 2"
Kilaa,,"France, Japan","November 10, 2004 (age 20)",Active,DPS,Wasp X Ohhhh No,"$2,059","Cassidy, Widowmaker, Tracer","Overwatch, Overwatch 2"
KroxZ,,France,"September  1, 2000 (age 24)",Active,Tank,,"$9,633","Reinhardt, Orisa, Roadhog","Overwatch, Overwatch 2"
GOGO,,France,"September  6, 2003 (age 21)",Active,Support,Frost Tails eSport,"$5,246","Lúcio, Brigitte, Baptiste","Overwatch, Overwatch 2"
Xeriongdh,,France,"March 26, 2005 (age 20)",Active,Support,Team Peps,"$12,827","Kiriko, Baptiste, Ana","Overwatch, Overwatch 2"
Ken,,Belgium,,Active,DPS,Team Peps,"$12,442","Ashe, Echo, Junkrat","Overwatch, Overwatch 2"
loren,,Spain,"June  4, 2003 (age 22)",Inactive,DPS,,"$3,684","Echo, Mei, Sojourn","Overwatch, Overwatch 2"
DarkLordAoD,,Kazakhstan,"May 24, 2007 (age 18)",Inactive,DPS,,$519,"Widowmaker, Tracer, Ashe",Overwatch 2
Hitori,,Germany,"December  1, 2004 (age 20)",Active,Tank,Extinction,"$8,645","Winston, Ramattra, D.Va","Overwatch, Overwatch 2"
Strebor,,United Kingdom,,Active,Support,,"$4,382","Lúcio, Brigitte, Zenyatta","Overwatch, Overwatch 2"
yoham,,Denmark,"July 28, 2003 (age 22)",Active,Support,,"$7,580","Baptiste, Kiriko, Ana","Overwatch, Overwatch 2"
Gurkmeister,,Sweden,,Active,DPS,,"$1,353",,Overwatch 2
Chaba,,Belgium,"May  7, 2003 (age 22)",Active,Support,,"$2,882","Baptiste, Kiriko, Ana","Overwatch, Overwatch 2"
eden,,"France, Algeria",,Active,,,$647,,Overwatch 2
eisgnom,,Germany,"February 25, 2006 (age 19)",Active,Tank,Virtus.pro,"$9,640","D.Va, Doomfist, Winston","Overwatch, Overwatch 2"
Zorrow,,Sweden,"February 16, 2006 (age 19)",Active,"DPS, Coach",,"$3,723","Cassidy, Sojourn, Ashe",Overwatch 2
sxj,,Malta,,Active,DPS,SrPeakCheck,"$3,919","Tracer, Soldier: 76, Echo","Overwatch, Overwatch 2"
Skytorr,,Belgium,"July 28, 2003 (age 22)",Active,Tank,,"$5,844","Winston, Doomfist, Mauga","Overwatch, Overwatch 2"
CaptainPrash,,"United Kingdom, India","February 28, 2002 (age 23)",Active,Support,,"$5,235","Lúcio, Brigitte, Baptiste","Overwatch, Overwatch 2"
tekuno,,United Kingdom,"March 29, 2003 (age 22)",Active,Support,,"$3,539","Ana, Kiriko, Baptiste",Overwatch 2
Szymondki,,Poland,"May  6, 2005 (age 20)",Active,DPS,,$167,"Tracer, Echo, Mei","Overwatch, Overwatch 2"
Reinsch,,Norway,"August 23, 2002 (age 22)",Active,DPS,,$606,"Venture, Soldier: 76, Mei","Overwatch, Overwatch 2"
sonder,,"Åland, Finland","July 20, 2004 (age 21)",Active,DPS,Gass T3 is not a Job,"$1,286","Bastion, Sojourn, Tracer","Overwatch, Overwatch 2"
Yukej,,Sweden,"June  6, 2003 (age 22)",Active,Tank,,$366,"Reinhardt, Ramattra, Junker Queen",Overwatch 2
Santyx,,United Kingdom,August  6,Active,Support,,"$1,263","Zenyatta, Kiriko, Baptiste","Overwatch, Overwatch 2"
fate,Koo Pan-seung,South Korea,"October 15, 1998 (age 26)",Active,"Coach, Tank",,"$271,166","Winston, Orisa, Wrecking Ball","Overwatch, Overwatch 2"
Miraculous,Turki,Saudi Arabia,"December 11, 2005 (age 19)",Active,DPS,,"$2,555","Echo, Tracer, Ashe","Overwatch, Overwatch 2"
gucci,,Finland,"April 14, 2006 (age 19)",Active,DPS,,"$2,797","Echo, Tracer, Ashe","Overwatch, Overwatch 2"
Mesopos,Mohammed,Saudi Arabia,,Active,"Tank, DPS",,"$2,625","Reinhardt, Sigma, Winston","Overwatch, Overwatch 2"
TommeX,,Estonia,"March 18, 2005 (age 20)",Active,Support,,$808,"Kiriko, Ana, Baptiste","Overwatch, Overwatch 2"
Alba,,"Scotland, United Kingdom","May 27, 2005 (age 20)",Active,Support,,"$3,428","Brigitte, Lúcio, Mercy",Overwatch 2
Bones,,Spain,"June 18, 2001 (age 24)",Active,DPS,,"$3,219","Mei, Tracer, Genji","Overwatch, Overwatch 2"
JesperSwag,,"Norway, Sweden","July 15, 2004 (age 21)",Active,DPS,Ereus,$876,"Venture, Genji, Mercy",Overwatch 2
Matriera,,,,,,,,,
SLEEK,,Germany,"November  6, 2002 (age 22)",Active,DPS,,$705,"Hanzo, Tracer, Torbjörn","Overwatch, Overwatch 2"
Lars,,Germany,"June 10, 2007 (age 18)",Active,Tank,Ereus,$847,"Junker Queen, Zarya, Winston","Overwatch, Overwatch 2"
Neliozu,,Germany,"July 19, 2004 (age 21)",Active,Support,,$304,"Ana, Kiriko, Zenyatta",Overwatch 2
Pingu,,,,,,,,,
VoltsA,,United Kingdom,"November  4, 2003 (age 21)",Active,Support,Ereus,$834,"Lúcio, Brigitte, Juno","Overwatch, Overwatch 2"
Centralapan,,Sweden,"June 29, 2005 (age 20)",Active,Tank,,"$1,014","Sigma, Ramattra, Junker Queen",Overwatch 2
gcb,,"Northern Ireland, Ireland","November 13, 2002 (age 22)",Active,Support,,"$1,811","Lúcio, Brigitte, Lifeweaver","Overwatch, Overwatch 2"
ANJ,,Netherlands,"July  9, 1997 (age 28)",Active,Support,Wasp X Ohhhh No,"$24,284","Lúcio, Mercy, Brigitte","Overwatch, Overwatch 2"
Kronus,,"Scotland, United Kingdom","March 27, 1999 (age 26)",Active,Support,,"$13,957","Lúcio, Baptiste, Mercy","Overwatch, Overwatch 2"
Happy,Lee Jeongwoo,South Korea,"August  2, 1999 (age 25)",Retired,DPS,,"$166,821","Widowmaker, Cassidy, Tracer","Overwatch, Overwatch 2"
Infekted,,United States,"February 13, 2007 (age 18)",Active,"Tank, Coach","Team Liquid, Winthrop University","$40,307","Reinhardt, Wrecking Ball, Winston","Overwatch, Overwatch 2"
akay,Alwaleed Khalid,"Saudi Arabia, United Kingdom",,Active,"Manager, DPS",Al Qadsiah,"$5,099","Torbjörn, Pharah, Soldier: 76","Overwatch, Overwatch 2"
Hydron,,"United States, Dominican Republic, Brazil","February 27, 2004 (age 21)",Active,DPS,Fisher College,"$48,728","Widowmaker, Sojourn, Tracer","Overwatch, Overwatch 2"
JAKE,,United States,"July 28, 1996 (age 29)",Active,"Coach, Caster",,"$19,650","Junkrat, Soldier: 76, Genji","Overwatch, Overwatch 2"
Reinforce,,Sweden,"July  8, 1995 (age 30)",Retired,Caster,,"$38,223","Reinhardt, Winston",Overwatch
eskay,,United States,"August 13, 2001 (age 23)",Inactive,"Support, Streamer",,"$13,512","Lúcio, Lifeweaver, Ana","Overwatch, Overwatch 2"
alphabet,,,,,,,,,
Jay3,,United States,"November  9, 1994 (age 30)",Active,"Streamer, DPS",Luminosity Gaming,"$23,368","Tracer, Ashe, Widowmaker","Overwatch, Overwatch 2"
Danteh,,United States,"March 24, 1999 (age 26)",Active,"Tank, DPS",,"$103,499","Doomfist, Junker Queen, Tracer","Overwatch, Overwatch 2"
emongg,,United States,"July 20, 1990 (age 35)",Inactive,"Tank, Streamer",,"$17,645","D.Va, Zarya, Sigma","Overwatch, Overwatch 2"
Sainttx,,,,,,,,,
AVRL,,New Zealand,,Retired,"Caster, Coach",,"$3,571",,Overwatch
zzz,,United States,"April 25, 2003 (age 22)",Active,Support,Sakura Esports,"$24,019","Baptiste, Kiriko, Ana","Overwatch, Overwatch 2"
Skai,,Romania,"May 19, 2001 (age 24)",Active,Support,The Ultimates,"$50,536","Baptiste, Kiriko, Ana","Overwatch, Overwatch 2"
Henry,,,,,,,,,
Toniki,,,,,,,,,
JAKE,,United States,"July 28, 1996 (age 29)",Active,"Coach, Caster",,"$19,650","Junkrat, Soldier: 76, Genji","Overwatch, Overwatch 2"
Eskay,,United States,"August 13, 2001 (age 23)",Inactive,"Support, Streamer",,"$13,512","Lúcio, Lifeweaver, Ana","Overwatch, Overwatch 2"
Bogur,,"Bulgaria, Belarus","August 29, 1999 (age 25)",Inactive,"Tank, Streamer",,"$14,014","Winston, Reinhardt, Orisa","Overwatch, Overwatch 2"
Poko,,France,"July 21, 1996 (age 29)",Active,"Streamer, Tank",Team Peps,"$126,732","D.Va, Sigma, Zarya","Overwatch, Overwatch 2"
Jay3,,United States,"November  9, 1994 (age 30)",Active,"Streamer, DPS",Luminosity Gaming,"$23,368","Tracer, Ashe, Widowmaker","Overwatch, Overwatch 2"
Reinforce,,Sweden,"July  8, 1995 (age 30)",Retired,Caster,,"$38,223","Reinhardt, Winston",Overwatch
Illusion,Tan Li,China,"April  6, 2002 (age 23)",Active,Support,,"$58,091","Mercy, Lúcio, Brigitte",
Danny Lim,,South Korea,"May  6, 1989 (age 36)",,Host,,"$7,143",,
