hero_name,type,name,description,attribute,attribute_detail
D.Va,Perk,Heavy Rockets,Micro Missiles are swapped for Heavy Rockets which fire fewer projectiles with increased damage and explosion size.,damage,"5 (direct hit bonus)22 - 6.6 (splash, enemy)22 - 6.6 (splash, self)"
D.Va,Perk,Heavy Rockets,Micro Missiles are swapped for Heavy Rockets which fire fewer projectiles with increased damage and explosion size.,headshot,✕
D.Va,Perk,Heavy Rockets,Micro Missiles are swapped for Heavy Rockets which fire fewer projectiles with increased damage and explosion size.,rate of fire,6 shots/second
D.Va,Perk,Heavy Rockets,Micro Missiles are swapped for Heavy Rockets which fire fewer projectiles with increased damage and explosion size.,ammo,7
D.Va,Perk,Heavy Rockets,Micro Missiles are swapped for Heavy Rockets which fire fewer projectiles with increased damage and explosion size.,area of effect,3.0 meter splash radius
D.Va,Perk,Bunny Stomp,Call Mech’s damage radius is increased by 50%.,area of effect,4.5 meter radius
D.Va,Perk,Ejection Suit,Eject grants 75 temporary overhealth.,overhealth,75
D.Va,Perk,Ejection Suit,Eject grants 75 temporary overhealth.,duration,10 seconds
Doomfist,Ability,Role: Tank,Reduces knockbacks and critical damage received. Less ultimate generated by healing and damage received. Increases base health in Role Queue game modes.,health,150
Doomfist,Ability,Role: Tank,Reduces knockbacks and critical damage received. Less ultimate generated by healing and damage received. Increases base health in Role Queue game modes.,dmg. reduction,-25% taken
Doomfist,Ability,The Best Defense...,Dealing damage with abilities creates temporary overhealth.,overhealth,40 per enemy (normal abilities)75 per enemy (Meteor Strike)
Doomfist,Ability,Hand Cannon,Short-range weapon with spread. Reloads automatically.,damage,5 – 1.5 (per pellet)55 – 16.5 (per shot)
Doomfist,Ability,Hand Cannon,Short-range weapon with spread. Reloads automatically.,falloff range,15 – 30 meters
Doomfist,Ability,Hand Cannon,Short-range weapon with spread. Reloads automatically.,headshot,✓ (x2)
Doomfist,Ability,Hand Cannon,Short-range weapon with spread. Reloads automatically.,rate of fire,3 shots/s1.36 shots/s (continuous fire of final shot)
Doomfist,Ability,Hand Cannon,Short-range weapon with spread. Reloads automatically.,bullets per shot,11
Doomfist,Ability,Hand Cannon,Short-range weapon with spread. Reloads automatically.,ammo consumption,1
Doomfist,Ability,Hand Cannon,Short-range weapon with spread. Reloads automatically.,ammo,4
Doomfist,Ability,Hand Cannon,Short-range weapon with spread. Reloads automatically.,reload time,0.4 seconds (per shot)
Doomfist,Ability,Hand Cannon,Short-range weapon with spread. Reloads automatically.,spread angle,2.15 degrees
Doomfist,Ability,Hand Cannon,Short-range weapon with spread. Reloads automatically.,projectile speed,80 m/s
Doomfist,Ability,Hand Cannon,Short-range weapon with spread. Reloads automatically.,projectile radius,0.05 meters
Doomfist,Ability,Seismic SlamLSHIFT,Leap forward and smash the ground.,damage,50
Doomfist,Ability,Seismic SlamLSHIFT,Leap forward and smash the ground.,headshot,✕
Doomfist,Ability,Seismic SlamLSHIFT,Leap forward and smash the ground.,cast time,None
Doomfist,Ability,Seismic SlamLSHIFT,Leap forward and smash the ground.,area of effect,15 meter cone at a 100° angle  1.45 meters vertical range from surface
Doomfist,Ability,Seismic SlamLSHIFT,Leap forward and smash the ground.,movement speed,30 m/s
Doomfist,Ability,Power BlockE,Protect yourself from frontal attacks. Blocking heavy damage empowers Rocket Punch.,dmg. reduction,-80% taken
Doomfist,Ability,Power BlockE,Protect yourself from frontal attacks. Blocking heavy damage empowers Rocket Punch.,cast time,None
Doomfist,Ability,Power BlockE,Protect yourself from frontal attacks. Blocking heavy damage empowers Rocket Punch.,duration,0.34 seconds (min) 2.5 seconds (max)
Doomfist,Ability,Power BlockE,Protect yourself from frontal attacks. Blocking heavy damage empowers Rocket Punch.,mov. speed penalty,-35%
Doomfist,Ability,Rocket Punch,Hold to charge then release to launch forward and knock an enemy back. Damage increases if the enemy hits a wall.,damage,"25 - 75 (impact damage), 10 - 40 (wall slam)"
Doomfist,Ability,Rocket Punch,Hold to charge then release to launch forward and knock an enemy back. Damage increases if the enemy hits a wall.,headshot,✕
Doomfist,Ability,Rocket Punch,Hold to charge then release to launch forward and knock an enemy back. Damage increases if the enemy hits a wall.,cast time,0.2 seconds (min)1 seconds (full charge)1.6 second (max)0.4 seconds (fire recovery)
Doomfist,Ability,Rocket Punch,Hold to charge then release to launch forward and knock an enemy back. Damage increases if the enemy hits a wall.,duration,"0.5 seconds (max. travel time)0.4 seconds (stun, punch impact)0.15 seconds (stun, wall slam)"
Doomfist,Ability,Rocket Punch,Hold to charge then release to launch forward and knock an enemy back. Damage increases if the enemy hits a wall.,max. range,"6.3 - 19.7 meters (self)9.3 - 29.4 meters (self, empowered)5.5 - 13.2 meters (knockback)"
Doomfist,Ability,Rocket Punch,Hold to charge then release to launch forward and knock an enemy back. Damage increases if the enemy hits a wall.,mov. speed buff,+700% (normal punch)+1100% (empowered punch)
Doomfist,Ability,Rocket Punch,Hold to charge then release to launch forward and knock an enemy back. Damage increases if the enemy hits a wall.,mov. speed penalty,-50% penalty (charging)
Doomfist,Ability,Rocket Punch,Hold to charge then release to launch forward and knock an enemy back. Damage increases if the enemy hits a wall.,knockback speed,15 - 35 m/s
Doomfist,Ability,Meteor StrikeQ,"Press Q to leap up into the air. Move the targeting circle, then press  to strike the targeted area.",damage,300 (inner sphere)100 – 50 (outer sphere)
Doomfist,Ability,Meteor StrikeQ,"Press Q to leap up into the air. Move the targeting circle, then press  to strike the targeted area.",falloff range,2 – 8 meters
Doomfist,Ability,Meteor StrikeQ,"Press Q to leap up into the air. Move the targeting circle, then press  to strike the targeted area.",headshot,✕
Doomfist,Ability,Meteor StrikeQ,"Press Q to leap up into the air. Move the targeting circle, then press  to strike the targeted area.",healing,90 per second (while targeting)
Doomfist,Ability,Meteor StrikeQ,"Press Q to leap up into the air. Move the targeting circle, then press  to strike the targeted area.",cast time,0 + 0.5 seconds (initial activation)1 + 0.8 seconds (landing)
Doomfist,Ability,Meteor StrikeQ,"Press Q to leap up into the air. Move the targeting circle, then press  to strike the targeted area.",duration,"4 seconds (targeting, max)  3 seconds (slow)"
Doomfist,Ability,Meteor StrikeQ,"Press Q to leap up into the air. Move the targeting circle, then press  to strike the targeted area.",area of effect,2 meter radius (inner sphere)8 meter radius (outer sphere)
Doomfist,Ability,Meteor StrikeQ,"Press Q to leap up into the air. Move the targeting circle, then press  to strike the targeted area.",mov. speed buff,+200%
Doomfist,Ability,Meteor StrikeQ,"Press Q to leap up into the air. Move the targeting circle, then press  to strike the targeted area.",movement slow,-50%
Doomfist,Perk,One-Two,Hitting an enemy with Rocket Punch reloads all Hand Cannon ammo.,,
Doomfist,Perk,Survival of the Fittest,The Best Defense grants 25 overhealth from eliminations and its max overhealth is increased by 50.,overhealth,25
Doomfist,Perk,Seismic Empowerment,Hitting 3 or more enemies with Seismic Slam empowers Rocket Punch.,,
Doomfist,Perk,Power Matrix,Power Block absorbs projectiles for the first second of its duration.,,
Doomfist,Ability,The Best Defense... (old),Doomfist generates temporary personal shields when he deals ability damage.,health,+30 temporary shields per enemy hit with any of the three normal abilities+75 shields per enemy hit with the ultimate abilityMaximum of 150
Doomfist,Ability,Hand Cannon (old),Doomfist fires a short-range burst from the knuckles of his fist. Its ammunition is automatically regenerated over a short time.,damage,1.8 - 6 per pellet19.8 - 66 per shot
Doomfist,Ability,Hand Cannon (old),Doomfist fires a short-range burst from the knuckles of his fist. Its ammunition is automatically regenerated over a short time.,falloff range,15 meters to 30 meters
Doomfist,Ability,Hand Cannon (old),Doomfist fires a short-range burst from the knuckles of his fist. Its ammunition is automatically regenerated over a short time.,headshot,✓ (x2)
Doomfist,Ability,Hand Cannon (old),Doomfist fires a short-range burst from the knuckles of his fist. Its ammunition is automatically regenerated over a short time.,rate of fire,1 shot per 0.32 seconds
Doomfist,Ability,Hand Cannon (old),Doomfist fires a short-range burst from the knuckles of his fist. Its ammunition is automatically regenerated over a short time.,bullets per shot,11 per shot
Doomfist,Ability,Hand Cannon (old),Doomfist fires a short-range burst from the knuckles of his fist. Its ammunition is automatically regenerated over a short time.,ammo,4
Doomfist,Ability,Hand Cannon (old),Doomfist fires a short-range burst from the knuckles of his fist. Its ammunition is automatically regenerated over a short time.,reload time,0.32 seconds (inital reload)+0.656 second (per bullet)
Doomfist,Ability,Hand Cannon (old),Doomfist fires a short-range burst from the knuckles of his fist. Its ammunition is automatically regenerated over a short time.,spread angle,Constant: 2.15 degrees
Doomfist,Ability,Hand Cannon (old),Doomfist fires a short-range burst from the knuckles of his fist. Its ammunition is automatically regenerated over a short time.,projectile speed,80 meters per second
Doomfist,Ability,Rising UppercutLSHIFT,Doomfist uppercuts enemies in front of him into the air.,damage,50
Doomfist,Ability,Rising UppercutLSHIFT,Doomfist uppercuts enemies in front of him into the air.,headshot,✕
Doomfist,Ability,Rising UppercutLSHIFT,Doomfist uppercuts enemies in front of him into the air.,cast time,instantly + 0.352 s. recovery
Doomfist,Ability,Rising UppercutLSHIFT,Doomfist uppercuts enemies in front of him into the air.,duration,0.6 seconds (air lock)
Doomfist,Ability,Rising UppercutLSHIFT,Doomfist uppercuts enemies in front of him into the air.,area of effect,5 meters
Doomfist,Ability,Rising UppercutLSHIFT,Doomfist uppercuts enemies in front of him into the air.,movement speed,10 meters per second
Doomfist,Ability,Seismic Slam (old)E,"Doomfist leaps forward and smashes into the ground, knocking nearby enemies toward him.",damage,25 - 125
Doomfist,Ability,Seismic Slam (old)E,"Doomfist leaps forward and smashes into the ground, knocking nearby enemies toward him.",headshot,✕
Doomfist,Ability,Seismic Slam (old)E,"Doomfist leaps forward and smashes into the ground, knocking nearby enemies toward him.",max. range,15 meters (travel distance)
Doomfist,Ability,Seismic Slam (old)E,"Doomfist leaps forward and smashes into the ground, knocking nearby enemies toward him.",area of effect,8 meters
Doomfist,Ability,Seismic Slam (old)E,"Doomfist leaps forward and smashes into the ground, knocking nearby enemies toward him.",movement speed,25 meters per second (diagonal)
Doomfist,Ability,Rocket Punch (old),"After charging up, Doomfist lunges forward and knocks an enemy back, dealing additional damage if they impact a wall.",damage,50 - 100 (punch)  50 - 150 (wall impact)
Doomfist,Ability,Rocket Punch (old),"After charging up, Doomfist lunges forward and knocks an enemy back, dealing additional damage if they impact a wall.",headshot,✕
Doomfist,Ability,Rocket Punch (old),"After charging up, Doomfist lunges forward and knocks an enemy back, dealing additional damage if they impact a wall.",cast time,0.192 min. charge time1.4 seconds to fully charge2 second max. charge time
Doomfist,Ability,Rocket Punch (old),"After charging up, Doomfist lunges forward and knocks an enemy back, dealing additional damage if they impact a wall.",duration,0.496 second stun
Doomfist,Ability,Rocket Punch (old),"After charging up, Doomfist lunges forward and knocks an enemy back, dealing additional damage if they impact a wall.",max. range,~6.4 to 20 meters (depending on charge)
Doomfist,Ability,Rocket Punch (old),"After charging up, Doomfist lunges forward and knocks an enemy back, dealing additional damage if they impact a wall.",movement speed,-50% penalty (charging)45 meters per second (punch)
Doomfist,Ability,Meteor Strike (old)Q,"Doomfist leaps into the sky, then crashes to the ground, dealing significant damage.",damage,Inner ring: 300Outer ring: 15-200
Doomfist,Ability,Meteor Strike (old)Q,"Doomfist leaps into the sky, then crashes to the ground, dealing significant damage.",falloff range,2-8 meters
Doomfist,Ability,Meteor Strike (old)Q,"Doomfist leaps into the sky, then crashes to the ground, dealing significant damage.",headshot,✕
Doomfist,Ability,Meteor Strike (old)Q,"Doomfist leaps into the sky, then crashes to the ground, dealing significant damage.",cast time,1 second
Doomfist,Ability,Meteor Strike (old)Q,"Doomfist leaps into the sky, then crashes to the ground, dealing significant damage.",duration,Up to 4 seconds for select area1 second landing + 0.5 s. recovery (invulnerability)
Doomfist,Ability,Meteor Strike (old)Q,"Doomfist leaps into the sky, then crashes to the ground, dealing significant damage.",area of effect,Inner ring: 2 metersOuter ring: 6 metersOverall radius: 8 meters
Doomfist,Ability,Meteor Strike (old)Q,"Doomfist leaps into the sky, then crashes to the ground, dealing significant damage.",movement speed,16.5 meters per second60 meters per second
Hazard,Ability,Role: Tank,Reduces knockbacks and critical damage received. Less ultimate generated by healing and damage received. Increases base health in Role Queue game modes.,health,150
Hazard,Ability,Role: Tank,Reduces knockbacks and critical damage received. Less ultimate generated by healing and damage received. Increases base health in Role Queue game modes.,dmg. reduction,-25% taken
Hazard,Ability,VaultSPACE,Scale short walls and grab ledges.,duration,Up to 0.2 seconds
Hazard,Ability,VaultSPACE,Scale short walls and grab ledges.,movement speed,6.33 m/s (vertical)
Hazard,Ability,Bonespur,Fire a burst of spikes.,damage,7.5 - 2.25 per pellet75 - 22.5 per shot
Hazard,Ability,Bonespur,Fire a burst of spikes.,falloff range,15 - 35 meters
Hazard,Ability,Bonespur,Fire a burst of spikes.,headshot,✓ (x2)
Hazard,Ability,Bonespur,Fire a burst of spikes.,rate of fire,1.75 shots/s
Hazard,Ability,Bonespur,Fire a burst of spikes.,bullets per shot,10
Hazard,Ability,Bonespur,Fire a burst of spikes.,ammo consumption,1
Hazard,Ability,Bonespur,Fire a burst of spikes.,ammo,8
Hazard,Ability,Bonespur,Fire a burst of spikes.,reload time,2.3 seconds
Hazard,Ability,Bonespur,Fire a burst of spikes.,projectile speed,140 m/s
Hazard,Ability,Bonespur,Fire a burst of spikes.,projectile radius,0.05 meters
Hazard,Ability,Spike Guard,"Protect yourself, firing homing spikes at nearby enemies. While active, reduce damage taken and regenerate ammo.",damage,11.67 per projectile210.06 maximum
Hazard,Ability,Spike Guard,"Protect yourself, firing homing spikes at nearby enemies. While active, reduce damage taken and regenerate ammo.",headshot,✕
Hazard,Ability,Spike Guard,"Protect yourself, firing homing spikes at nearby enemies. While active, reduce damage taken and regenerate ammo.",rate of fire,6 shots/s
Hazard,Ability,Spike Guard,"Protect yourself, firing homing spikes at nearby enemies. While active, reduce damage taken and regenerate ammo.",bullets per shot,1 per enemy
Hazard,Ability,Spike Guard,"Protect yourself, firing homing spikes at nearby enemies. While active, reduce damage taken and regenerate ammo.",dmg. reduction,-65% taken
Hazard,Ability,Spike Guard,"Protect yourself, firing homing spikes at nearby enemies. While active, reduce damage taken and regenerate ammo.",cast time,0 + 2.9 seconds
Hazard,Ability,Spike Guard,"Protect yourself, firing homing spikes at nearby enemies. While active, reduce damage taken and regenerate ammo.",duration,0.3 seconds (min)3 seconds (max)
Hazard,Ability,Spike Guard,"Protect yourself, firing homing spikes at nearby enemies. While active, reduce damage taken and regenerate ammo.",area of effect,"7 meters radius, 6 meters height"
Hazard,Ability,Spike Guard,"Protect yourself, firing homing spikes at nearby enemies. While active, reduce damage taken and regenerate ammo.",spread angle,70 degrees (targeting)180 degrees (dmg. reduction)
Hazard,Ability,Spike Guard,"Protect yourself, firing homing spikes at nearby enemies. While active, reduce damage taken and regenerate ammo.",mov. speed penalty,-50%
Hazard,Ability,Spike Guard,"Protect yourself, firing homing spikes at nearby enemies. While active, reduce damage taken and regenerate ammo.",projectile speed,20 m/s
Hazard,Ability,Spike Guard,"Protect yourself, firing homing spikes at nearby enemies. While active, reduce damage taken and regenerate ammo.",projectile radius,0.14 meters
Hazard,Ability,Violent LeapLSHIFT,"Lunge forward. Activate again to slash enemies, knocking them back.",damage,80 (slash)
Hazard,Ability,Violent LeapLSHIFT,"Lunge forward. Activate again to slash enemies, knocking them back.",headshot,✕
Hazard,Ability,Violent LeapLSHIFT,"Lunge forward. Activate again to slash enemies, knocking them back.",cast time,0 + 0.18 seconds (leap)0.05 + 0.5 seconds (slash)
Hazard,Ability,Violent LeapLSHIFT,"Lunge forward. Activate again to slash enemies, knocking them back.",max. range,"14 meters (leap, aimed up) - 15 meters (leap, along ground)6 meters (slash)"
Hazard,Ability,Violent LeapLSHIFT,"Lunge forward. Activate again to slash enemies, knocking them back.",movement speed,18.6 m/s (aimed up) - 24 m/s (along ground)9.4 m/s (slash hop)
Hazard,Ability,Violent LeapLSHIFT,"Lunge forward. Activate again to slash enemies, knocking them back.",knockback speed,12.3 m/s
Hazard,Ability,Jagged WallE,Launch a spiked wall that damages and knocks back nearby enemies.,damage,50
Hazard,Ability,Jagged WallE,Launch a spiked wall that damages and knocks back nearby enemies.,headshot,✕
Hazard,Ability,Jagged WallE,Launch a spiked wall that damages and knocks back nearby enemies.,health,400
Hazard,Ability,Jagged WallE,Launch a spiked wall that damages and knocks back nearby enemies.,cast time,0.14 + 0.4 seconds
Hazard,Ability,Jagged WallE,Launch a spiked wall that damages and knocks back nearby enemies.,duration,"10 seconds (projectile)0.5 seconds (wall, min)6 seconds (wall, max)"
Hazard,Ability,Jagged WallE,Launch a spiked wall that damages and knocks back nearby enemies.,max. range,∞
Hazard,Ability,Jagged WallE,Launch a spiked wall that damages and knocks back nearby enemies.,area of effect,5 meter length~3 meter width3.5 meter height
Hazard,Ability,Jagged WallE,Launch a spiked wall that damages and knocks back nearby enemies.,knockback speed,7.5 m/s
Hazard,Ability,Jagged WallE,Launch a spiked wall that damages and knocks back nearby enemies.,projectile speed,60 m/s
Hazard,Ability,Jagged WallE,Launch a spiked wall that damages and knocks back nearby enemies.,projectile radius,None
Hazard,Ability,DownpourQ,"Rain down a torrent of spikes, Immobilizing enemies.",damage,90 over 0.29 seconds
Hazard,Ability,DownpourQ,"Rain down a torrent of spikes, Immobilizing enemies.",headshot,✕
Hazard,Ability,DownpourQ,"Rain down a torrent of spikes, Immobilizing enemies.",cast time,0.59 + 0.3 seconds
Hazard,Ability,DownpourQ,"Rain down a torrent of spikes, Immobilizing enemies.",duration,2.5 seconds (trap)
Hazard,Ability,DownpourQ,"Rain down a torrent of spikes, Immobilizing enemies.",area of effect,30 meters length12.5 meters width30 meters height
Hazard,Perk,Off The Top,Violent Leap’s Slash deals 50% more damage to enemies above 250 health.,damage,120
Hazard,Perk,Off The Top,Violent Leap’s Slash deals 50% more damage to enemies above 250 health.,headshot,✕
Hazard,Perk,Reconstitution,"Jagged Wall hits charge Spike Guard with 25 energy, up to 50 extra.",,
Hazard,Perk,Anarchic Zeal,Spike Guard’s spikes gain 25% Lifesteal.,healing,40% of damage dealt
Hazard,Perk,Deep Leap,Violent Leap’s range is increased by 20%.,max. range,"18 meters (leap, aimed up) - 19.6 meters (leap, along ground)"
Hazard,Perk,Deep Leap,Violent Leap’s range is increased by 20%.,movement speed,22.5 m/s (aimed up) - 28.8 m/s (along ground)
Junker Queen,Ability,Role: Tank,Reduces knockbacks and critical damage received. Less ultimate generated by healing and damage received. Increases base health in Role Queue game modes.,health,150
Junker Queen,Ability,Role: Tank,Reduces knockbacks and critical damage received. Less ultimate generated by healing and damage received. Increases base health in Role Queue game modes.,dmg. reduction,-25% taken
Junker Queen,Ability,Adrenaline Rush,Heal from all damage over time dealt by wounds.,healing,225% of wound damage dealt
Junker Queen,Ability,Scattergun,Pump action shotgun.,damage,8 – 2.4 (per pellet)80 – 24 (per shot)
Junker Queen,Ability,Scattergun,Pump action shotgun.,falloff range,15 – 25 meters
Junker Queen,Ability,Scattergun,Pump action shotgun.,headshot,✓ (x2)
Junker Queen,Ability,Scattergun,Pump action shotgun.,rate of fire,1.33 shots/s
Junker Queen,Ability,Scattergun,Pump action shotgun.,bullets per shot,10
Junker Queen,Ability,Scattergun,Pump action shotgun.,ammo consumption,1
Junker Queen,Ability,Scattergun,Pump action shotgun.,ammo,8
Junker Queen,Ability,Scattergun,Pump action shotgun.,reload time,1.5 seconds
Junker Queen,Ability,Scattergun,Pump action shotgun.,spread angle,~1.8 degrees
Junker Queen,Ability,Scattergun,Pump action shotgun.,projectile radius,0.04 meters
Junker Queen,Ability,Jagged Blade,"Active: Throw the blade. Re-activate to pull it back with any impaled enemy.Passive: Wound enemies hit by Quick Melee or Throw, dealing damage over time.",damage,"65 (thrown hit)30 over 3 seconds (wound, thrown hit)15 over 3 seconds (wound, return hit & melee)"
Junker Queen,Ability,Jagged Blade,"Active: Throw the blade. Re-activate to pull it back with any impaled enemy.Passive: Wound enemies hit by Quick Melee or Throw, dealing damage over time.",headshot,✕
Junker Queen,Ability,Jagged Blade,"Active: Throw the blade. Re-activate to pull it back with any impaled enemy.Passive: Wound enemies hit by Quick Melee or Throw, dealing damage over time.",cast time,0.13 + 0.24 seconds
Junker Queen,Ability,Jagged Blade,"Active: Throw the blade. Re-activate to pull it back with any impaled enemy.Passive: Wound enemies hit by Quick Melee or Throw, dealing damage over time.",duration,3 seconds
Junker Queen,Ability,Jagged Blade,"Active: Throw the blade. Re-activate to pull it back with any impaled enemy.Passive: Wound enemies hit by Quick Melee or Throw, dealing damage over time.",max. range,60 meters
Junker Queen,Ability,Jagged Blade,"Active: Throw the blade. Re-activate to pull it back with any impaled enemy.Passive: Wound enemies hit by Quick Melee or Throw, dealing damage over time.",knockback speed,"20.74 m/s (non-tanks), 15.56 m/s (tanks)"
Junker Queen,Ability,Jagged Blade,"Active: Throw the blade. Re-activate to pull it back with any impaled enemy.Passive: Wound enemies hit by Quick Melee or Throw, dealing damage over time.",projectile speed,40 m/s
Junker Queen,Ability,Jagged Blade,"Active: Throw the blade. Re-activate to pull it back with any impaled enemy.Passive: Wound enemies hit by Quick Melee or Throw, dealing damage over time.",projectile radius,0.27 meters
Junker Queen,Ability,Commanding ShoutLSHIFT,Grants temporary health and movement speed to yourself and allies.,overhealth,200 (self)75 (allies)
Junker Queen,Ability,Commanding ShoutLSHIFT,Grants temporary health and movement speed to yourself and allies.,cast time,None
Junker Queen,Ability,Commanding ShoutLSHIFT,Grants temporary health and movement speed to yourself and allies.,duration,4 seconds
Junker Queen,Ability,Commanding ShoutLSHIFT,Grants temporary health and movement speed to yourself and allies.,area of effect,15 meter radius
Junker Queen,Ability,Commanding ShoutLSHIFT,Grants temporary health and movement speed to yourself and allies.,mov. speed buff,+30%
Junker Queen,Ability,CarnageE,"Wound all enemies in front of you, dealing damage over time and reducing the cooldown for each enemy hit.",damage,105 (impact)40 over 3 seconds (wound)
Junker Queen,Ability,CarnageE,"Wound all enemies in front of you, dealing damage over time and reducing the cooldown for each enemy hit.",headshot,✕
Junker Queen,Ability,CarnageE,"Wound all enemies in front of you, dealing damage over time and reducing the cooldown for each enemy hit.",cast time,1 + 0.26 seconds
Junker Queen,Ability,CarnageE,"Wound all enemies in front of you, dealing damage over time and reducing the cooldown for each enemy hit.",duration,3 seconds (wound)0.144 seconds (hitbox active)
